week,meta,google,tv,email,tr_meta,tr_google,tr_tv,tr_email,revenue
2023-01-02,8457.08,8154.13,7609.24,2132.45,0.3965446931553371,0.35558329230425567,0.12779827190645912,0.587055568555658,79627.37
2023-01-09,6595.28,9490.69,11769.47,1131.7,0.46909224168490726,0.4743533707863813,0.31274890196620897,0.5095137973768799,95145.09
2023-01-16,9562.46,8038.87,20672.91,1248.4,0.5660418974903585,0.48256903628855086,0.5294858639572033,0.5098100088953144,107825.57
2023-01-23,10078.27,9054.16,6966.71,911.03,0.6123575731342764,0.5060241457237044,0.49783214084032545,0.4491445876472657,107910.52
2023-01-30,5545.0,11020.93,15562.18,1427.95,0.552987291478862,0.5490775189593187,0.5675764147753235,0.5271953335616748,115658.16
2023-02-06,6733.72,6278.57,11484.8,790.77,0.543928947577769,0.4791360352175119,0.5727641535588927,0.42863270178282564,109963.27
2023-02-13,9278.19,9855.91,11105.54,1296.88,0.5895541355750714,0.5198144253025767,0.572850029113044,0.5036295107865432,117001.84
2023-02-20,8652.24,9290.8,15792.29,646.51,0.5990038967483219,0.5245680943262498,0.6131782898305481,0.38797924156882996,116423.62
2023-02-27,9287.42,7706.62,11768.08,1728.59,0.6140511422343768,0.4966479826739697,0.607223175000377,0.5612456408523098,122788.2
2023-03-06,7910.56,6170.09,13445.2,942.8,0.5986593154715518,0.4508580615806269,0.6165088043912771,0.46931844990072663,115144.85
2023-03-13,11061.8,8439.78,7883.79,1351.37,0.6407408685321727,0.48216889258876316,0.576206577943806,0.5187187566500012,122696.97
2023-03-20,10946.75,7382.66,6416.67,1225.26,0.6575033724817816,0.4717302945593542,0.5287331579643508,0.5079702514101007,121617.17
2023-03-27,9707.05,8483.3,9363.75,2164.67,0.6491565358619524,0.4907256637145081,0.5243425681691148,0.6225835184300591,129360.0
2023-04-03,11629.03,8133.43,13212.48,1219.23,0.6699678206237083,0.49096981299446396,0.5608381011695767,0.533307508096865,128590.88
2023-04-10,10428.83,10584.79,14678.96,528.39,0.6650578721360506,0.5367213958054601,0.5967084610784683,0.3674119933221951,129043.0
2023-04-17,8014.27,7832.21,8202.15,979.91,0.6291418552095727,0.5045536337388008,0.5633084442555396,0.43484780727420386,124387.57
2023-04-24,10152.59,6716.63,16160.95,907.76,0.6412852704921937,0.4668988846849513,0.6104489563705514,0.43151465861609656,123585.85
2023-05-01,7723.69,8776.2,16827.3,844.52,0.6106440568320783,0.49485008905868255,0.6436997061640557,0.41685025023843764,124709.18
2023-05-08,10851.33,9041.59,29478.7,1453.37,0.6428165306334394,0.5103625364597467,0.7321203091690722,0.5264878914635376,134456.55
